New Category,Category,Vendor ID,Vendor Legacy ID,Vendor Name,Category Status?
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2006755,700027477,700056835 ANANTA APPARELS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1001197,000306563,ANANTA GARMENTS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002864,000306777,DENIMACH LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002864,000306777,ARMANA APPARELS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002864,000306777,ZYTA APPARELS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1005311,000307084,Artistic Fabric & Garment Industries (Pvt) Ltd,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2007463,700028122,ARTISTIC MILLINERS (PVT) LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2010795,700031159,BRANDIX ASIA LIMITED,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1006159,000308305,COLUMBIA APPARELS LTD.,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1006159,000308305,COLUMBIA GARMENTS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,CRYSTAL APPAREL LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,CRYSTAL SWEATER LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,ELEGANCE INDUSTRIAL CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,ZHONGSHAN YIDA APPAREL LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,JINGLI (JINTAN) APPAREL LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,YE JI INDUSTRIAL CO LTD OF DONGGUAN,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004880,000001204,MTL SOURCING DMCC,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004880,000001204,EAM MALIBAN TEXTILES (PVT) LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1000189,000309076,HA HAE CORPORATION,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002910,000302842,HANSAE CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2011898,700032533,J D UNITED TRADING CORPORATION LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2037030,700060935,CHANGZHOU TOOKU GARMENTS CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2038955,700063215,EAM MALIBAN TEXTILES JORDAN (PVT) LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002773,000308353,NIEN HSING TEXTILE CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2038407,700062622,NISHA DESIGNS,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1003989,000300717,PAN-PACIFIC CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2010635,700031000,PT DAEHAN GLOBAL,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002734,000306488,REFAT GARMENTS LIMITED,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002701,000303028,SG CORPORATION,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2002675,700022390,THE CIVIL ENGINEERS LIMITED,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2002675,700022390,Standard Group Ltd.,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1006248,000001195,TAINAN ENTERPRISES CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1006248,000001195,YIXING GAOQING GARMENT CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1005007,000302717,TEXPORT OVERSEAS PRIVATE LIMITED,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2032140,700055010,Tusker Apparel Ltd Co,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1001281,000303911,UNIVERSAL JEANS LTD,Preferred
Accessories,Total Accessories,1005915,000311024,ABSOLUTE INTERNATIONAL CO LTD,Preferred
Accessories,Total Accessories,1005915,000311024,QINGDAO SUNG HWA TEXTILE CO LTD,Preferred
Accessories,Total Accessories,1005915,000311024,QINGDAO HAE IN INTERNATIONAL CO LTD,Preferred
Accessories,Total Accessories,1002489,000775282,CIRCA OF AMERICA LLC,Preferred
Accessories,Total Accessories,1002489,000775282,DONGGUAN YAOMEI LEATHERWARE CO LTD,Preferred
Accessories,Total Accessories,1003468,000310791,HANJOWON CO LTD,Preferred
Accessories,Total Accessories,1003468,000310791,QINGDAO TAI JIN TEXTILE CO LTD,Preferred
Accessories,Total Accessories,1003468,000310791,QINGDAO FORERUN CO LTD,Preferred
Accessories,Total Accessories,1001905,000303122,HANYOUNG KANGAROO CO LTD,Preferred
Accessories,Total Accessories,1000975,000308025,KINGSBURG INDUSTRIES CO LTD,Preferred
Accessories,Total Accessories,1000975,000308025,DONGGUAN KEYCASTLE INDUSTRIES CO LTD,Preferred
Accessories,Total Accessories,1000611,000309497,MILAGROS CHINA LIMITED,Preferred
Accessories,Total Accessories,1000611,000309497,MILAGROS TEXTILE PRODUCTS (SUZHOU) LTD,Preferred
Accessories,Total Accessories,1000611,000309497,TAIZHOU ZHENYI ARTS & CRAFTS CO LTD,Preferred
Accessories,Total Accessories,1000611,000309497,NINGBO HENG DA ARTS & CRAFTS CO LTD,Preferred
Accessories,Total Accessories,2035126,700059015,NINGBO LIGHT CO LTD,Preferred
Accessories,Total Accessories,2012978,700033939,SHANGHAI SHENGDA TEXTILE CO LTD,Preferred
Accessories,Total Accessories,1002581,000303430,SHOE BIZ WORLDWIDE LTD,Preferred
Accessories,Total Accessories,1002581,000303430,PUTIAN XINFEITIAN FOOTWEAR CO LTD,Preferred
Accessories,Total Accessories,1002581,000303430,YANGZHOU XU SHENG FOOTWEAR CO LTD,Preferred
Accessories,Total Accessories,1002581,000303430,ANHUI TIANLONG CLOTHING LEATHER CO LTD,Preferred
Accessories,Total Accessories,2026560,700048425,WEIHAI LUDA ART & CRAFT CO LTD,Preferred
Accessories,Total Accessories,2026560,700048425,WEIHAI LUDA ART & CRAFT CO LTD (CHINA),Preferred
3P & Lic,Total 3P & Lic,2020156,700041610,5th & OCEAN CLOTHING LLC.,Preferred
3P & Lic,Total 3P & Lic,2015320,700036675,AMERICAN MARKETING ENTERPRISE,Preferred
3P & Lic,Total 3P & Lic,1002037,000311125,AWAKE INC.,Preferred
3P & Lic,Total 3P & Lic,2012145,700032860,"C-Life Group, LTD",Preferred
3P & Lic,Total 3P & Lic,2005520,700026145,Junkfood Clothing Co.,Preferred
3P & Lic,Total 3P & Lic,2016535,700038055,"Mighty Fine, Inc.",Preferred
3P & Lic,Total 3P & Lic,2017020,700038715,Outerstuff,Preferred
3P & Lic,Total 3P & Lic,2043700,700069575,RIO GARMENT S A,Preferred
3P & Lic,Total 3P & Lic,2020170,700041645,"Sistema US, Inc.",Preferred
3P & Lic,Total 3P & Lic,2019555,700040865,"Steve Selvin Associates, Inc. T/A New World Sales",Preferred
3P & Lic,Total 3P & Lic,2015790,700037234,Tailgate Clothing Co.,Preferred
3P & Lic,Total 3P & Lic,2019110,700040420,Toy Investments Inc,Preferred
3P & Lic,Total 3P & Lic,2021495,700042330,VF Licensed Sports Group,Preferred
